geo_key,geo_name,slope
"toronto, ontario","Toronto (CMA), Ontario",-1320.1775025799823
"montrã©al, quebec","MontrÃ©al (CMA), Quebec",-452.9948400412779
"vancouver, british columbia","Vancouver (CMA), British Columbia",-446.3993808049506
"wood buffalo, alberta","Wood Buffalo (CA), Alberta",-97.2352941176462
"quã©bec, quebec","QuÃ©bec (CMA), Quebec",-94.747162022705
"red deer, alberta","Red Deer (CMA), Alberta",-55.056759545924045
"barrie, ontario","Barrie (CMA), Ontario",-45.82146542827514
"grande prairie, alberta","Grande Prairie (CA), Alberta",-33.0464396284836
"moncton, new brunswick","Moncton (CMA), New Brunswick",-29.72858617131063
"fort st. john, british columbia","Fort St. John (CA), British Columbia",-26.71517027863767
"brooks, alberta","Brooks (CA), Alberta",-24.45923632610954
"medicine hat, alberta","Medicine Hat (CA), Alberta",-19.13931888544925
"greater sudbury, ontario","Greater Sudbury (CMA), Ontario",-17.950464396285664
"kelowna, british columbia","Kelowna (CMA), British Columbia",-15.3426212590296
"nanaimo, british columbia","Nanaimo (CMA), British Columbia",-11.69556243550074
"vernon, british columbia","Vernon (CA), British Columbia",-10.52941176470578
"portage la prairie, manitoba","Portage la Prairie (CA), Manitoba",-10.220846233230107
"joliette, quebec","Joliette (CA), Quebec",-9.15789473684227
"pembroke, ontario","Pembroke (CA), Ontario",-9.03199174406606
"prince albert, saskatchewan","Prince Albert (CA), Saskatchewan",-8.792569659442629
"estevan, saskatchewan","Estevan (CA), Saskatchewan",-8.56862745098049
"cape breton, nova scotia","Cape Breton (CA), Nova Scotia",-7.965944272445903
"riviã¨re-du-loup, quebec","RiviÃ¨re-du-Loup (CA), Quebec",-6.8875128998969775
"sept-ãles, quebec","Sept-Ãles (CA), Quebec",-6.70485036119737
"north battleford, saskatchewan","North Battleford (CA), Saskatchewan",-6.243550051599578
"truro, nova scotia","Truro (CA), Nova Scotia",-6.114551083591306
"camrose, alberta","Camrose (CA), Alberta",-5.981424148606874
"dawson creek, british columbia","Dawson Creek (CA), British Columbia",-5.625386996904021
"sainte-marie, quebec","Sainte-Marie (CA), Quebec",-5.567595459236393
"wetaskiwin, alberta","Wetaskiwin (CA), Alberta",-3.811145510835977
"drummondville, quebec","Drummondville (CMA), Quebec",-2.5098039215687904
"new glasgow, nova scotia","New Glasgow (CA), Nova Scotia",-2.3075335397317107
"cobourg, ontario","Cobourg (CA), Ontario",-1.9865841073271533
"moose jaw, saskatchewan","Moose Jaw (CA), Saskatchewan",-0.737874097007182
