outcome,model,n_train,n_test,cv_r2_mean,cv_r2_sd,cv_rmse_mean,cv_rmse_sd,best_params,r2_test,rmse_test
net_interprovincial_rate,XGBoost,720,200,0.29264978166061834,0.3131485787860407,3.0102076226642427,0.3157890079960784,"{'model__subsample': 0.6, 'model__n_estimators': 600, 'model__max_depth': 9, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.6}",0.24988395071574943,4.352274474905494
net_interprovincial_rate,RandomForest,720,200,0.27533947959439853,0.3343790117540914,3.0478442634614096,0.3437459569770183,"{'model__n_estimators': 800, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 12}",0.2968840421339851,4.213718556712088
net_interprovincial_rate,Ridge,720,200,0.10808997326044903,0.040086289759625374,3.587529468412673,0.9794287909486531,{'model__alpha': 100.0},0.03441317468441163,4.937961654998254
net_interprovincial_rate,Lasso,720,200,0.09196775113083713,0.03011007810274108,3.6054874679649545,0.9092964510999171,{'model__alpha': 0.07498942093324558},0.019377170437408053,4.976259815798376
net_interprovincial_rate,OLS,720,200,0.07271158269656078,0.07037116858820279,3.627810583888683,0.8560972980712073,{},0.026859249798743767,4.957239218480155
net_interprovincial_rate,GAM,720,200,-0.44693464909265446,1.0168856408134186,3.9993713832813382,0.6331315413886366,"lam=[0.251, 0.251, 0.251, 0.251, 0.251, 0.251, 0.251, 0.251, 0.251]",-0.12028482411821595,5.318832010658594
net_intraprovincial_rate,RandomForest,720,240,0.5346077671969722,0.0692480221343851,2.763199628407245,0.6263370121988696,"{'model__n_estimators': 800, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 12}",0.4167839255360858,5.0357540195166015
net_intraprovincial_rate,XGBoost,720,240,0.4892797579219826,0.0588377513474477,2.859835147226243,0.4032733724171567,"{'model__subsample': 0.6, 'model__n_estimators': 600, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__colsample_bytree': 1.0}",0.40902307928646064,5.069148637230012
net_intraprovincial_rate,Lasso,720,240,0.2745102169894942,0.08744568916700073,3.4620136286573624,0.8284006483804752,{'model__alpha': 0.19573417814876617},0.21634841112450953,5.837290063767962
net_intraprovincial_rate,Ridge,720,240,0.25885424461470063,0.07885430071892317,3.4966484675302922,0.8109604414864733,{'model__alpha': 61.8965818891261},0.22049103489898547,5.821840762276533
net_intraprovincial_rate,OLS,720,240,0.20523261026199607,0.06542416238618784,3.6148720227440476,0.7881618225190633,{},0.2225198592219506,5.814259587384014
net_intraprovincial_rate,GAM,720,240,-0.16118561064668832,0.40744646986733124,4.20589339000653,0.4972612804687589,"lam=[15.849, 15.849, 15.849, 15.849, 15.849, 15.849, 15.849, 15.849]",0.28530007620911224,5.574573337071861
