outcome,feature,vif
net_interprovincial_rate,year,2665.244929265106
net_interprovincial_rate,log_population,2304.4418181526685
net_interprovincial_rate,share_65plus,32.16871839304967
net_interprovincial_rate,unemployment_rate,15.734147222799638
net_interprovincial_rate,cma_size_Small,15.458071628696901
net_interprovincial_rate,cma_size_Medium,7.6517245626415225
net_interprovincial_rate,intl_inmigration,4.296322500020275
net_interprovincial_rate,rd_provincial,3.0424480573629724
net_interprovincial_rate,rent_deviation,2.4453109462487577
net_intraprovincial_rate,year,2664.9101693800612
net_intraprovincial_rate,log_population,2303.554564392718
net_intraprovincial_rate,share_65plus,29.950709880887924
net_intraprovincial_rate,unemployment_rate,15.702979618160203
net_intraprovincial_rate,cma_size_Small,15.350570950084927
net_intraprovincial_rate,cma_size_Medium,7.624053527207173
net_intraprovincial_rate,intl_inmigration,4.278982844803499
net_intraprovincial_rate,rent_deviation,2.414261101086419
