outcome,model,kind,feature,importance,sd
net_interprovincial_rate,RandomForest,native,rent_deviation,0.07923423557114644,
net_interprovincial_rate,RandomForest,native,unemployment_rate,0.22071845741361765,
net_interprovincial_rate,RandomForest,native,share_65plus,0.17335564975898846,
net_interprovincial_rate,RandomForest,native,intl_inmigration,0.09342411812473012,
net_interprovincial_rate,RandomForest,native,log_population,0.10805820254280799,
net_interprovincial_rate,RandomForest,native,year,0.06751184943108246,
net_interprovincial_rate,RandomForest,native,rd_provincial,0.2328035592131179,
net_interprovincial_rate,RandomForest,native,cma_size_Medium,0.018051416690863582,
net_interprovincial_rate,RandomForest,native,cma_size_Small,0.006842511253645464,
net_interprovincial_rate,RandomForest,permutation_test,rent_deviation,0.16819800493739873,0.03632915107789966
net_interprovincial_rate,RandomForest,permutation_test,unemployment_rate,0.11623730155938423,0.058670107399123275
net_interprovincial_rate,RandomForest,permutation_test,share_65plus,0.34695924953481666,0.06858620788154675
net_interprovincial_rate,RandomForest,permutation_test,intl_inmigration,0.11043237708185275,0.038392050047162694
net_interprovincial_rate,RandomForest,permutation_test,log_population,0.09872777366862555,0.020326102659730765
net_interprovincial_rate,RandomForest,permutation_test,cma_size,0.11933655926220575,0.022790476915942673
net_interprovincial_rate,RandomForest,permutation_test,year,0.0,0.0
net_interprovincial_rate,RandomForest,permutation_test,rd_provincial,0.8451637295331845,0.11305378696153463
net_interprovincial_rate,XGBoost,native,rent_deviation,0.04156171903014183,
net_interprovincial_rate,XGBoost,native,unemployment_rate,0.13297800719738007,
net_interprovincial_rate,XGBoost,native,share_65plus,0.08016255497932434,
net_interprovincial_rate,XGBoost,native,intl_inmigration,0.05490148067474365,
net_interprovincial_rate,XGBoost,native,log_population,0.0777902826666832,
net_interprovincial_rate,XGBoost,native,year,0.08551718294620514,
net_interprovincial_rate,XGBoost,native,rd_provincial,0.19588078558444977,
net_interprovincial_rate,XGBoost,native,cma_size_Medium,0.21081209182739258,
net_interprovincial_rate,XGBoost,native,cma_size_Small,0.12039585411548615,
net_interprovincial_rate,XGBoost,permutation_test,rent_deviation,0.20008307793732408,0.04246804458324287
net_interprovincial_rate,XGBoost,permutation_test,unemployment_rate,0.05508389959226368,0.05332033418902019
net_interprovincial_rate,XGBoost,permutation_test,share_65plus,0.4536548684037573,0.059103265600108375
net_interprovincial_rate,XGBoost,permutation_test,intl_inmigration,0.08345408655454602,0.02940484423578601
net_interprovincial_rate,XGBoost,permutation_test,log_population,0.11144425541804984,0.03784263936570628
net_interprovincial_rate,XGBoost,permutation_test,cma_size,0.14153515712509873,0.024263513338088384
net_interprovincial_rate,XGBoost,permutation_test,year,0.0,0.0
net_interprovincial_rate,XGBoost,permutation_test,rd_provincial,0.5203279621637692,0.0975692626774558
net_intraprovincial_rate,RandomForest,native,rent_deviation,0.20571120319050804,
net_intraprovincial_rate,RandomForest,native,unemployment_rate,0.06567870327192474,
net_intraprovincial_rate,RandomForest,native,share_65plus,0.15590894071730724,
net_intraprovincial_rate,RandomForest,native,intl_inmigration,0.22143726626675408,
net_intraprovincial_rate,RandomForest,native,log_population,0.2372838843119053,
net_intraprovincial_rate,RandomForest,native,year,0.06588390574423544,
net_intraprovincial_rate,RandomForest,native,cma_size_Medium,0.028288097869849392,
net_intraprovincial_rate,RandomForest,native,cma_size_Small,0.019807998627515824,
net_intraprovincial_rate,RandomForest,permutation_test,rent_deviation,0.4649655475117604,0.07219626071776038
net_intraprovincial_rate,RandomForest,permutation_test,unemployment_rate,0.03496715916804227,0.05487677625669502
net_intraprovincial_rate,RandomForest,permutation_test,share_65plus,0.31739925825730914,0.10088816709369686
net_intraprovincial_rate,RandomForest,permutation_test,intl_inmigration,0.6568803483828533,0.08666484609585094
net_intraprovincial_rate,RandomForest,permutation_test,log_population,0.6116439923324238,0.07461281895213404
net_intraprovincial_rate,RandomForest,permutation_test,cma_size,0.3074168018484,0.03891056201634394
net_intraprovincial_rate,RandomForest,permutation_test,year,0.0,0.0
net_intraprovincial_rate,XGBoost,native,rent_deviation,0.11765466630458832,
net_intraprovincial_rate,XGBoost,native,unemployment_rate,0.05416230857372284,
net_intraprovincial_rate,XGBoost,native,share_65plus,0.12590400874614716,
net_intraprovincial_rate,XGBoost,native,intl_inmigration,0.22985711693763733,
net_intraprovincial_rate,XGBoost,native,log_population,0.16631481051445007,
net_intraprovincial_rate,XGBoost,native,year,0.09791452437639236,
net_intraprovincial_rate,XGBoost,native,cma_size_Medium,0.20819252729415894,
net_intraprovincial_rate,XGBoost,native,cma_size_Small,0.0,
net_intraprovincial_rate,XGBoost,permutation_test,rent_deviation,0.7601739002613931,0.118568618599751
net_intraprovincial_rate,XGBoost,permutation_test,unemployment_rate,0.0006963589180582671,0.06447124950445424
net_intraprovincial_rate,XGBoost,permutation_test,share_65plus,0.39289901561340634,0.13959347357164975
net_intraprovincial_rate,XGBoost,permutation_test,intl_inmigration,1.3526339232804776,0.13593560002876545
net_intraprovincial_rate,XGBoost,permutation_test,log_population,0.38853027441744686,0.09628144294733812
net_intraprovincial_rate,XGBoost,permutation_test,cma_size,0.12522397273933847,0.022820731301339818
net_intraprovincial_rate,XGBoost,permutation_test,year,0.0,0.0
