outcome,model,spec,n_features,n_train,n_test,cv_r2_mean,cv_r2_sd,cv_rmse_mean,cv_rmse_sd,r2_test,rmse_test
net_interprovincial_rate,OLS,contemporaneous,8,720,200,0.07271158269656078,0.07037116858820279,3.627810583888683,0.8560972980712073,0.026859249798743767,4.957239218480155
net_interprovincial_rate,OLS,lag1,10,680,200,-0.3823523063806481,1.085763502649542,3.6097685077528836,0.13894765581472643,-0.009033833751609377,5.047832224513253
net_interprovincial_rate,OLS,lag1_lag2,12,640,200,-1.3110857574338683,3.1227332402521024,4.036953201638437,0.936628065539225,-0.03445813462914615,5.111030904177405
net_interprovincial_rate,XGBoost,contemporaneous,8,720,200,0.20363432899357958,0.3948324137308408,3.1574102700409195,0.2655594720993047,0.20005757598513296,4.4945002844767465
net_interprovincial_rate,XGBoost,lag1,10,680,200,0.3412868663895948,0.23345545882070423,2.67929769730807,0.45543487458803866,0.21691417501482047,4.446893502152151
net_interprovincial_rate,XGBoost,lag1_lag2,12,640,200,0.3166578557032398,0.20457954696728267,2.777027284783215,0.6435868137682544,0.2825203680387699,4.256541144786345
net_intraprovincial_rate,OLS,contemporaneous,7,720,240,0.20523261026199607,0.06542416238618784,3.6148720227440476,0.7881618225190633,0.2225198592219506,5.814259587384014
net_intraprovincial_rate,OLS,lag1,9,680,240,0.22009843675642635,0.05950067937344186,3.618675886184639,0.9872098550304039,0.23467426547124137,5.768633183241039
net_intraprovincial_rate,OLS,lag1_lag2,11,640,240,0.1376306278049305,0.22023864610359334,3.7477826185148713,0.897340648986035,0.22263835816959432,5.813816482884617
net_intraprovincial_rate,XGBoost,contemporaneous,7,720,240,0.46640252454143527,0.069566003589113,2.921739743675466,0.4155334269062995,0.3879044865663043,5.158926773204855
net_intraprovincial_rate,XGBoost,lag1,9,680,240,0.5096839380100247,0.07933784110165774,2.8435722593290276,0.7081959765025901,0.3832255458550997,5.178607001468016
net_intraprovincial_rate,XGBoost,lag1_lag2,11,640,240,0.5543189204704513,0.08286004509393649,2.731583815017875,0.7918734880270966,0.35927498303904537,5.278197127272674
